Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IO;ForwardQuery: (<dacapo.FileDigest: byte[] getBinary(java.io.File)> $r5.<init>(r0),$r5 (FileDigest.getBinary) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1782;570;18;2507;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.FileDigest: byte[] getBinary(java.io.File)> $r4.<init>($r5),$r4 (FileDigest.getBinary) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;415;385;10;2507;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)> $r4.<init>($r5),$r4 (Benchmark.unpackZipFileResource) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;8720;3949;48;2507;true;true;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)> $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;501;111;4;2507;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)> r0.<init>($r3),r0 (TeePrintStream.<init>) Value: specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3));specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;36351;117874;1541;2507;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)> $r9.<init>($r11,$r10),$r9 (Benchmark.<init>) Value: specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10));specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;17245;58918;1541;2507;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)> $r61.<init>(r47),$r61 (Graph.plotGraph) Value: specialinvoke $r61.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47));specialinvoke $r61.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47);<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;400;517;7;2507;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)> $r23.<init>(r47),$r23 (Graph.plotGraph) Value: specialinvoke $r23.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47));specialinvoke $r23.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47);<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;93;469;7;2507;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeeOutputStream: void newLog()> $r2.<init>($r3),$r2 (TeeOutputStream.newLog) Value: specialinvoke $r2.<java.io.FileOutputStream: void <init>(java.io.File)>($r3));specialinvoke $r2.<java.io.FileOutputStream: void <init>(java.io.File)>($r3);<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;38961;256;1814;2507;false;true;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)> r0.<init>(r1),r0 (TeeOutputStream.<init>) Value: specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1));specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeeOutputStream;false;false;98;222;13;2507;false;true;0;0;
