Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;456;410;329;127;4;2507;r0[config];0;
ideal-ap;IteratorHasNext;r48 @ r48 = interfaceinvoke $r17.<java.util.List: java.util.Iterator iterator()>();r48 = interfaceinvoke $r17.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;true;973;53;973;0;4;2507;r0[this$0, c];0;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r4.<java.util.List: java.util.Iterator iterator()>();r2 = interfaceinvoke $r4.<java.util.List: java.util.Iterator iterator()>();<org.jfree.data.DefaultKeyedValues: int getIndex(java.lang.Comparable)>;org.jfree.data.DefaultKeyedValues;false;true;2047;54;2047;0;4;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r45 @ r45 = interfaceinvoke $r15.<java.util.List: java.util.Iterator iterator()>();r45 = interfaceinvoke $r15.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.CategoryPlot;false;true;11704;71;11704;0;4;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r45 @ r45 = interfaceinvoke $r15.<java.util.List: java.util.Iterator iterator()>();r45 = interfaceinvoke $r15.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: java.util.Map drawAxes(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;true;1781;69;1781;0;4;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r40 @ r40 = interfaceinvoke $r39.<java.util.List: java.util.Iterator iterator()>();r40 = interfaceinvoke $r39.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.JFreeChart: void draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.ChartRenderingInfo)>;org.jfree.chart.JFreeChart;false;false;87;66;17;70;4;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r7 @ r7 = interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>();r7 = interfaceinvoke r5.<java.util.Collection: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: void drawDomainMarkers(java.awt.Graphics2D,java.awt.geom.Rectangle2D,int,org.jfree.ui.Layer)>;org.jfree.chart.plot.XYPlot;true;false;81;119;19;62;9;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r4 @ r4 = interfaceinvoke $r8.<java.util.List: java.util.Iterator iterator()>();r4 = interfaceinvoke $r8.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: void drawAnnotations(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)>;org.jfree.chart.plot.XYPlot;false;false;59;52;14;45;4;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.CategoryPlot: org.jfree.data.Range getDataRange(org.jfree.chart.axis.ValueAxis)>;org.jfree.chart.plot.CategoryPlot;false;true;1375;53;1375;0;4;2507;r0[root, right, left, key, data];0;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke r2.<java.util.List: java.util.Iterator iterator()>();<org.jfree.chart.plot.XYPlot: org.jfree.data.Range getDataRange(org.jfree.chart.axis.ValueAxis)>;org.jfree.chart.plot.XYPlot;false;true;1215;65;1215;0;4;2507;r0[root, right, left, key, data];0;
